Object,Start,End,Count,
TB1_T2Cell01_Nmito131_LES,134,140,14,
TB1_T2Cell01_Nmito132_LES,122,138,54,
TB1_T2Cell01_Nmito133_LES,131,139,20,
TB1_T2Cell01_Nmito134_LES,129,139,60,
TB1_T2Cell01_Nmito135_LES,116,140,84,
TB1_T2Cell01_Nmito136_LES,112,117,20,
TB1_T2Cell01_Nmito137_LES,128,138,22,
TB1_T2Cell01_Nmito138_LES,126,144,48,
TB1_T2Cell01_Nmito139_LES,134,139,16,
TB1_T2Cell01_Nmito140_LES,127,140,26,
TB1_T2Cell01_Nmito141_LES,120,132,24,
TB1_T2Cell01_Nmito142_LES,122,134,26,
TB1_T2Cell01_Nmito143_LES,125,140,37,
TB1_T2Cell01_Nmito144_LES,112,136,46,
TB1_T2Cell01_Nmito145_LES,131,139,18,
TB1_T2Cell01_Nmito146_LES,121,128,30,
TB1_T2Cell01_Nmito147_LES,113,131,58,
TB1_T2Cell01_Nmito148_LES,126,133,18,
TB1_T2Cell01_Nmito149_LES,131,135,14,
TB1_T2Cell01_Nmito150_LES,122,128,14,
TB1_T2Cell01_Nmito151_LES,108,127,64,
Tb1_T2Cell01_Nmito152_LES,127,138,16,
TB1_T2Cell01_Nmito153_LES,132,140,26,
TB1_T2Cell01_Nmito154_LES,131,138,16,
TB1_T2Cell01_Nmito156_LES,58,144,287,
TB1_T2Cell01_Nmito157_LES,126,131,12,
TB1_T2Cell01_Nmito158_LES,124,135,34,
TB1_T2Cell01_Nmito159_LES,114,129,46,
TB1_T2Cell01_Nmito160_LES,136,143,28,
TB1_T2Cell01_Nmito161_LES,133,148,46,
TB1_T2Cell01_Nmito162_LES,112,171,243,
TB1_T2Cell01_Nmito163_LES,144,148,10,
TB1_T2Cell01_Nmito164_LES,144,148,10,
TB1_T2Cell01_Nmito165_LES,113,148,58,
TB1_T2Cell01_Nmito166_LES,59,129,173,
TB1_T2Cell01_Nmito167_LES,18,102,201,
TB1_T2Cell01_Nmito168_LES,25,76,166,
TB1_T2Cell01_Nmito169_LES,43,59,56,
TB1_T2Cell01_Nmito170_LES,112,124,30,
TB1_T2Cell01_Nmito171_LES,106,123,64,
TB1_T2Cell01_Nmito172_LES,122,163,59,
TB1_T2Cell01_Nmito173_LES,143,156,14,
TB1_T2Cell01_Nmito174_LES,143,165,40,
TB1_T2Cell01_Nmito175_LES,160,165,6,
TB1_T2Cell01_Nmito176_LES,148,170,25,
TB1_T2Cell01_Nmito177_LES,162,165,4,
TB1_T2Cell01_Nmito178_LES,153,163,16,
TB1_T2Cell01_Nmito179_LES,147,156,12,
TB1_T2Cell01_Nmito180_LES,134,162,36,
TB1_T2Cell01_Nmito181_LES,149,163,21,
TB1_T2Cell01_Nmito182_LES,152,163,12,
TB1_T2Cell01_Nmito183_LES,148,166,19,
TB1_T2Cell01_Nmito184_LES,150,161,17,
TB1_T2Cell01_Nmito185_LES,125,146,13,
TB1_T2Cell01_Nmito186_LES,118,129,31,
TB1_T2Cell01_Nmito187_LES,108,113,6,
TB1_T2Cell01_Nmito188_LES,107,121,15,
TB1_T2Cell01_Nmito189_LES,103,129,34,
TB1_T2Cell01_Nmito190_LES,96,115,24,
TB1_T2Cell01_Nmito191_LES,108,124,17,
TB1_T2Cell01_Nmito192_LES,114,126,22,
TB1_T2Cell01_Nmito193_LES,98,123,49,
TB1_T2Cell01_Nmito194_LES,100,116,22,
TB1_T2Cell01_Nmito195_LES,102,117,16,
TB1_T2Cell01_Nmito196_LES,104,119,25,
TB1_T2Cell01_Nmito197_LES,118,122,5,
TB1_T2Cell01_Nmito198_LES,122,125,4,
TB1_T2Cell01_Nmito199_LES,124,125,2,
TB1_T2Cell01_Nmito200_LES,106,116,13,
TB1_T2Cell01_Nmito201_LES,102,115,14,
TB1_T2Cell01_Nmito202_LES,107,120,18,
TB1_T2Cell01_Nmito203_LES,100,115,26,
TB1_T2Cell01_Nmito204_LES,97,115,19,
TB1_T2Cell01_Nmito205_LES,97,101,5,
TB1_T2Cell01_Nmito206_LES,100,104,5,
TB1_T2Cell01_Nmito207_LES,99,123,46,
TB1_T2Cell01_Nmito209_LES,112,119,8,
TB1_T2Cell01_Nmito210_LES,105,111,7,
TB1_T2Cell01_Nmito211_LES,106,113,10,
TB1_T2Cell01_Nmito212_LES,116,133,17,
TB1_T2Cell01_Nmito213_LES,116,124,9,
TB1_T2Cell01_Nmito214_LES,120,125,6,
TB1_T2Cell01_Nmito215_LES,114,121,8,
TB1_T2Cell01_Nmito216_LES,106,122,20,
TB1_T2Cell01_Nmito217_LES,108,123,16,
TB1_T2Cell01_Nmito218_LES,118,122,7,
Tb1_T2Cell01_Nmito219_LES,119,125,10,
TB1_T2Cell01_Nmito220_LES,124,126,5,
TB1_T2Cell01_Nmito221_LES,122,125,4,
TB1_T2Cell01_Nmito222_LES,116,132,23,
TB1_T2Cell01_Nmito223_LES,126,131,5,
TB1_T2Cell01_Nmito224_LES,131,137,7,
TB1_T2Cell01_Nmito225_LES,137,145,9,
TB1_T2Cell01_Nmito226_LES,141,148,11,
TB1_T2Cell01_Nmito227_LES,143,150,9,
TB1_T2Cell01_Nmito228_LES,142,152,11,
TB1_T2Cell01_Nmito229_LES,144,146,4,
TB1_T2Cell01_Nmito230_LES,140,150,12,
TB1_T2Cell01_Nmito231_LES,146,158,16,
TB1_T2Cell01_Nmito232_LES,151,162,12,
TB1_T2Cell01_Nmito233_LES,116,121,6,
TB1_T2Cell01_Nmito234_LES,105,136,31,
TB1_T2Cell01_Nmito235_LES,66,150,86,
TB1_T2Cell01_Nmito236_LES,59,77,22,
TB1_T2Cell01_Nmito237_LES,66,109,46,
TB1_T2Cell01_Nmito238_LES,93,101,9,
TB1_T2Cell01_Nmito239_LES,48,56,10,
TB1_T2Cell01_Nmito240_LES,26,41,20,
TB1_T2Cell01_Nmito241_LES,25,37,13,
TB1_T2Cell01_Nmito242_LES,37,43,7,
TB1_T2Cell01_Nmito243_LES,29,37,9,
TB1_T2Cell01_Nmito244_LES,34,45,12,
TB1_T2Cell01_Nmito245_LES,40,50,16,
TB1_T2Cell01_Nmito246_LES,42,45,4,
TB1_T2Cell01_Nmito247_LES,42,59,20,
TB1_T2Cell01_Nmito248_LES,30,51,24,
TB1_T2Cell01_Nmito249_LES,46,55,10,
TB1_T2Cell01_Nmito250_LES,49,72,24,
TB1_T2Cell01_Nmito251_LES,59,75,18,
TB1_T2Cell01_Nmito252_LES,64,71,8,
TB1_T2Cell01_Nmito253_LES,68,85,18,
TB1_T2Cell01_Nmito254_LES,56,76,22,
TB1_T2Cell01_Nmito255_LES,72,123,51,
TB1_T2Cell01_Nmito257_LES,136,144,9,
TB1_T2Cell01_Nmito258_LES,132,148,19,
TB1_T2Cell01_Nmito259_LES,145,148,4,
TB1_T2Cell01_Nmito260_LES,139,152,17,
TB1_T2Cell01_Nmito261_LES,150,152,3,
TB1_T2Cell01_Nmito262_LES,141,155,28,
TB1_T2Cell01_Nmito263_LES,145,151,7,
TB1_T2Cell01_Nmito264_LES,131,138,13,
TB1_T2Cell01_Nmito265_LES,128,138,14,
TB1_T2Cell01_Nmito266_LES,129,136,8,
TB1_T2Cell01_Nmito267_LES,135,152,21,
TB1_T2Cell01_Nmito268_LES,153,164,14,
TB1_T2Cell01_Nmito269_LES,158,162,5,
TB1_T2Cell01_Nmito270_LES,160,165,6,
TB1_T2Cell01_Nmito271_LES,154,160,7,
TB1_T2Cell01_Nmito272_LES,125,157,34,
TB1_T2Cell01_Nmito273_LES,117,149,32,
TB1_T2Cell01_Nmito274_LES,143,150,8,
TB1_T2Cell01_Nmito275_LES,137,146,15,
TB1_T2Cell01_Nmito276_LES,142,149,8,
TB1_T2Cell01_Nmito277_LES,95,113,19,
TB1_T2Cell01_Nmito278_LES,110,121,13,
TB1_T2Cell01_Nmito279_LES,87,108,53,
TB1_T2Cell01_Nmito280_LES,99,116,20,
TB1_T2Cell01_Nmito281_LES,112,125,14,
TB1_T2Cell01_Nmito282_LES,111,118,8,
TB1_T2Cell01_Nmito283_LES,66,83,20,
TB1_T2Cell01_Nmito284_LES,79,84,6,
TB1_T2Cell01_Nmito285_LES,73,91,19,
TB1_T2Cell01_Nmito286_LES,33,43,23,
TB1_T2Cell01_Nmito287_LES,27,38,14,
TB1_T2Cell01_Nmito288_LES,1,19,19,
TB1_T2Cell01_Nmito289_LES,10,13,4,
TB1_T2Cell01_Nmito290_LES,14,17,4,
TB1_T2Cell01_Nmito291_LES,1,4,4,
TB1_T2Cell01_Nmito292_LES,1,4,4,
TB1_T2Cell01_Nmito293_LES,1,9,9,
TB1_T2Cell01_Nmito294_LES,1,17,17,
TB1_T2Cell01_Nmito295_LES,1,13,17,
TB1_T2Cell01_Nmito296_LES,1,5,5,
TB1_T2Cell01_Nmito297_LES,1,5,5,
TB1_T2Cell01_Nmito298_LES,1,9,9,
TB1_T2Cell01_Nmito299_LES,1,11,11,
TB1_T2Cell01_Nmito300_LES,10,13,4,
TB1_T2Cell01_Nmito301_LES,18,28,11,
TB1_T2Cell01_Nmito302_LES,14,26,13,
TB1_T2Cell01_Nmito303_LES,20,26,7,
TB1_T2Cell01_Nmito304_LES,18,28,11,
TB1_T2Cell01_Nmito305_LES,16,39,24,
TB1_T2Cell01_Nmito307_LES,110,113,6,
TB1_T2Cell01_Nmito308_LES,110,117,8,
TB1_T2Cell01_Nmito309_LES,114,133,25,
TB1_T2Cell01_Nmito310_LES,117,121,6,
TB1_T2Cell01_Nmito311_LES,117,125,9,
TB1_T2Cell01_Nmito312_LES,118,122,6,
TB1_T2Cell01_Nmito313_LES,117,126,13,
TB1_T2Cell01_Nmito314_LES,118,124,7,
TB1_T2Cell01_Nmito315_LES,118,121,4,
TB1_T2Cell01_Nmito316_LES,119,129,12,
TB1_T2Cell01_Nmito317_LES,120,125,8,
TB1_T2Cell01_Nmito318_LES,120,125,6,
TB1_T2Cell01_Nmito319_LES,125,129,5,
TB1_T2Cell01_Nmito320_LES,126,131,5,
TB1_T2Cell01_Nmito321_LES,131,135,7,
TB1_T2Cell01_Nmito322_LES,135,139,7,
TB1_T2Cell01_Nmito323_LES,139,144,9,
TB1_T2Cell01_Nmito324_LES,136,144,11,
TB1_T2Cell01_Nmito325_LES,133,138,6,
TB1_T2Cell01_Nmito326_LES,136,141,10,
TB1_T2Cell01_Nmito327_LES,134,138,5,
TB1_T2Cell01_Nmito328_LES,133,140,8,
TB1_T2cell01_nuc_RSL,122,197,154,
TB1_T2Cell02_atmito03_RKJ,34,75,44,
TB1_t2cell02_CM_RKJ,1,93,118,
TB1_t2cell02_nuc_RKJ,1,81,82,
TB1_t2cell03_CM_RKJ,7,115,205,
TB1_t2cell03_nuc_RKJ,30,105,85,
TB1_t2cell05_CM_RKJ,1,189,317,
TB1_t2cell05_nuc_RKJ,1,101,104,
TB1_t2cell06_CM_RKJ,1,129,424,
TB1_t2cell06_nuc_RKJ,1,80,80,
TB1_T2Cell07_atmito01_RKJ,129,136,7,
TB1_T2Cell07_atmito02_RKJ,129,143,14,
TB1_T2Cell07_atmito07_RKJ,105,124,24,
TB1_T2Cell07_atmito08_RKJ,175,188,14,
TB1_T2Cell07_atmito08_RSL,148,167,44,
TB1_T2Cell07_atmito09_RKJ,183,196,17,
TB1_T2Cell07_atmito09_RSL,147,156,23,
TB1_T2Cell07_atmito10_RKJ,203,213,11,
TB1_T2Cell07_atmito11_RSL,58,73,17,
TB1_T2Cell07_atmito12_RSL,105,123,64,
TB1_T2Cell07_atmito13_cristae_RSL,114,125,542,
TB1_T2Cell07_atmito13_RSL,114,125,26,
TB1_t2cell07_atmito15_LES,136,156,42,
TB1_t2cell07_atmito16_LES,145,152,16,
TB1_t2cell07_atmito22_LES,122,136,31,
TB1_t2cell07_CM_RKJ,1,218,1039,
