Object,Start,End,Volume,
TB1_NF38_RSL,129,422,65.2961,
TB1_NF39_RSL,146,229,26.8661,
TB1_NF4_RSL,2,139,4.9129,
TB1_NF40_RSL,135,274,14.482,
TB1_NF41_RSL,2,142,5.02824,
TB1_NF42_RSL,51,112,7.14231,
TB1_NF43_RSL,66,181,8.49111,
TB1_NF44_RSL,29,275,11.6783,
TB1_NF45_RSL,2,167,15.1955,
TB1_NF46_RSL,2,224,46.0533,
TB1_NF47_RSL,2,114,23.5222,
TB1_NF48_RSL,3,81,5.18312,
TB1_NF49_RSL,62,112,10.7767,
TB1_NF5_RSL,2,181,17.0277,
TB1_NF50_RSL,131,189,4.68393,
TB1_NF51_RSL,33,73,4.97738,
TB1_NF52_RSL,2,83,4.46546,
TB1_NF53_RSL,34,114,5.93288,
TB1_NF54_RSL,217,357,9.71979,
TB1_NF55_RSL,2,591,50.8116,
TB1_NF56_RSL,136,363,18.2909,
TB1_NF57_RSL,2,49,4.16542,
TB1_NF58_RSL,59,331,32.2502,
TB1_NF59_RSL,134,224,8.27477,
TB1_NF6_RSL,2,130,5.98352,
TB1_NF60_RSL,165,188,4.75955,
TB1_NF61_RSL,2,61,11.7683,
TB1_NF7_RSL,2,62,8.13069,
TB1_NF8_RSL,2,160,4.90283,
TB1_NF9_RSL,2,319,46.2581,
TB1_Nuc1_PH,130,225,72.969,
TB1_Nuc10_PH,161,228,70.4858,
TB1_Nuc11_PH,104,214,68.4548,
TB1_Nuc12_PH,96,240,129.133,
TB1_Nuc13_PH,152,263,52.3965,
TB1_Nuc14_PH,129,226,68.5547,
TB1_Nuc15_PH,131,262,51.0624,
TB1_Nuc16_PH,146,266,48.7066,
TB1_Nuc17_PH,183,259,57.8035,
TB1_Nuc18_PH,159,296,50.8854,
TB1_Nuc19_PH,191,289,48.9545,
TB1_Nuc2_PH,161,268,56.0276,
TB1_Nuc20_PH,215,293,67.184,
TB1_Nuc21_PH,239,320,73.199,
TB1_Nuc22_PH,211,292,50.0703,
TB1_Nuc23_PH,203,287,63.4716,
TB1_Nuc24_PH,175,264,53.2154,
TB1_Nuc25_PH,192,292,48.1804,
TB1_Nuc26_PH,257,328,67.1021,
TB1_Nuc27_PH,240,339,66.5127,
TB1_Nuc28_PH,285,354,66.0735,
TB1_Nuc29_PH,221,315,56.7726,
TB1_Nuc3_PH,149,224,68.5412,
TB1_Nuc30_PH,245,344,45.0754,
TB1_Nuc31_PH,206,284,49.5555,
TB1_Nuc32_PH,248,338,47.9353,
TB1_Nuc33_PH,284,367,75.5755,
TB1_Nuc34_PH,349,421,67.4455,
TB1_Nuc35_PH,379,467,61.6751,
TB1_Nuc36_PH,341,435,69.0587,
TB1_Nuc37_PH,290,374,72.9698,
TB1_Nuc38_PH,344,417,70.4183,
TB1_Nuc39_PH,332,406,90.278,
TB1_Nuc4_PH,117,194,71.9349,
TB1_Nuc40_PH,304,371,55.3011,
TB1_Nuc41_PH,285,352,48.5816,
TB1_Nuc42_PH,311,404,48.6389,
TB1_Nuc43_PH,281,373,50.0177,
TB1_Nuc44_PH,288,380,52.7673,
TB1_Nuc45_PH,391,455,59.4911,
TB1_Nuc46_PH,380,449,55.7561,
TB1_Nuc47_PH,425,509,71.0502,
TB1_Nuc48_PH,395,462,48.9116,
TB1_Nuc49_PH,349,440,64.8814,
TB1_Nuc5_PH,88,150,57.1289,
TB1_Nuc51_PH,262,368,45.523,
TB1_Nuc52_PH,174,286,48.2218,
TB1_Nuc53_PH,45,192,54.1603,
TB1_Nuc54_PH,15,116,76.6284,
TB1_Nuc55_PH,2,81,69.9276,
TB1_Nuc56_PH,27,136,42.7482,
TB1_Nuc57_PH,35,172,49.0609,
TB1_Nuc58_PH,2,83,41.9469,
TB1_Nuc59_PH,2,125,73.9961,
TB1_Nuc6_PH,97,209,66.9453,
TB1_Nuc60_PH,93,179,63.7205,
TB1_Nuc61_PH,30,132,69.961,
TB1_Nuc62_PH,66,206,43.3007,
TB1_Nuc63_PH,110,211,51.8308,
TB1_Nuc64_PH,55,131,66.6707,
TB1_Nuc65_PH,16,81,53.0385,
TB1_Nuc66_PH,11,113,71.8746,
TB1_Nuc67_PH,13,131,56.3743,
TB1_Nuc68_PH,2,76,52.9989,
TB1_Nuc69_PH,2,54,24.0822,
TB1_Nuc7_PH,164,262,54.2876,
TB1_Nuc70_PH,11,134,49.4078,
TB1_Nuc71_PH,62,146,50.5777,
TB1_Nuc72_PH,2,53,31.4866,
TB1_Nuc73_PH,356,447,58.4615,
TB1_Nuc74_PH,35,123,52.2366,
TB1_Nuc75_PH,61,128,71.6139,
TB1_Nuc76_PH,67,161,91.5267,
TB1_Nuc77_PH,313,384,62.5303,
TB1_Nuc78_PH,359,456,50.3139,
TB1_Nuc79_PH,441,522,58.7972,
TB1_Nuc8_PH,168,266,57.8187,
TB1_Nuc83_PH,428,512,73.0692,
TB1_Nuc84_PH,404,491,41.8141,
TB1_Nuc85_PH,431,509,49.2127,
TB1_Nuc86_PH,117,214,48.7066,
TB1_Nuc87_PH,215,312,48.2362,
TB1_Nuc88_PH,209,328,47.0597,
TB1_Nuc89_PH,255,358,49.0909,
TB1_Nuc9_PH,150,224,126.217,
TB1_Nuc90_PH,222,316,50.6458,
TB1_Nuc91_PH,38,158,88.2419,
TB1_Nuc95_PH,2,38,21.9565,
TB1_Nuc96_PH,2,41,9.82055,
TB1_Shell_EM,2,618,40807.8,
TB2_AP01_EM,171,303,294.896,
TB2_AP02_EM,181,302,291.879,
TB2_AP03_EM,251,384,212.652,
TB2_AP04_EM,211,337,444.306,
TB2_AP05_EM,302,459,261.767,
TB2_AP06_EM,189,539,307.49,
TB2_AP07_EM,291,419,398.771,
TB2_AP08_EM,275,448,544.088,
TB2_AP09_EM,166,346,395.818,
TB2_AP10_EM,285,420,191.653,
TB2_AP11_EM,237,530,272.233,
TB2_AP12_EM,305,338,0.838534,
TB2_AP13_EM,306,427,255.14,
TB2_AP14_EM,307,574,671.376,
TB2_AP15_EM,153,326,436.055,
TB2_AP16_EM,180,362,296.901,
TB2_AP17_EM,256,367,989.982,
TB2_AP18_EM,312,327,0.466013,
TB2_AP19_EM,317,561,221.152,
TB2_AP20_EM,137,349,223.706,
TB2_AP21_EM,307,392,170.953,
TB2_Nuc01_RSL,143,230,128.236,
TB2_Nuc02_RSL,273,349,206.977,
TB2_Nuc03_RSL,298,371,204.861,
TB2_Shell_EM,13,609,33785.1,
TB3_AP01_EM,262,482,451.782,
TB3_AP02_EM,296,438,424.862,
TB3_AP03_EM,227,378,619.466,
TB3_AP04_EM,397,520,462.237,
TB3_AP05_EM,316,480,567.776,
TB3_Cell01_EM,329,455,131.241,
TB3_nerve1_EM,410,422,0.29507,
TB3_nerve2_EM,410,414,0.0527101,
TB3_Nuc01_EM,382,476,105.79,
TB3_Nuc02_EM,310,386,104.639,
TB3_Nuc03_EM,400,482,94.9336,
TB3_Nuc04_EM,387,456,86.8691,
TB3_Nuc05_EM,399,479,70.178,
TB3_Nuc06_EM,473,535,78.2814,
TB3_Nuc07_EM,484,556,93.5223,
TB3_Nuc08_EM,446,536,75.5742,
TB3_Nuc09_EM,421,515,97.4558,
TB3_Nuc10_EM,339,427,79.1179,
TB3_Nuc11_EM,304,382,97.2675,
TB3_Nuc12_EM,335,449,97.1686,
TB3_Nuc13_EM,431,549,175.312,
TB3_Nuc14_EM,343,443,73.1083,
TB3_Nuc15_EM,284,352,79.2378,
TB3_Nuc16_EM,259,444,168.715,
TB3_Nuc17_EM,348,430,75.6625,
TB3_Nuc18_EM,427,529,91.8182,
TB3_Nuc19_EM,515,571,72.6468,
TB3_Nuc20_EM,510,634,181.866,
TB3_Nuc21_EM,302,390,76.2656,
TB3_Nuc22_EM,243,321,68.7363,
TB3_Nuc23_EM,272,334,98.7809,
TB3_Nuc24_EM,276,352,71.6645,
TB3_Nuc25_EM,230,294,90.9344,
TB3_Nuc26_EM,280,361,76.2864,
TB3_Nuc27_EM,322,392,70.6951,
TB3_Nuc28_EM,307,415,72.2844,
TB3_Nuc29_EM,322,400,85.0907,
TB3_Nuc30_EM,332,418,99.1928,
TB3_Nuc31_EM,417,487,63.6642,
TB3_Nuc32_EM,461,539,90.3765,
TB3_Nuc33_EM,450,554,84.7749,
TB3_Nuc34_EM,428,510,65.1813,
TB3_Nuc35_EM,400,520,91.3218,
TB3_Nuc36_EM,376,502,79.3338,
TB3_Nuc37_EM,471,543,67.9913,
TB3_Nuc38_EM,361,501,69.9093,
TB3_Nuc39_EM,370,424,68.0849,
TB3_Nuc40_EM,386,470,111.314,
TB3_Nuc41_EM,389,477,102.865,
TB3_Nuc42_EM,359,441,80.27,
TB3_Nuc43_EM,320,384,72.1448,
TB3_Nuc44_EM,423,549,93.8797,
TB3_Nuc45_EM,536,626,95.149,
TB3_Nuc46_EM,606,634,23.125,
TB3_Nuc47_EM,562,634,82.6305,
TB3_Nuc48_EM,545,615,68.8615,
TB3_Nuc49_EM,588,634,79.4183,
TB3_Nuc50_EM,551,634,89.1265,
TB3_Nuc51_EM,587,634,55.6006,
TB3_Nuc52_EM,555,634,66.5407,
TB3_Nuc53_EM,512,608,79.1882,
TB3_Nuc54_EM,495,585,94.0291,
TB3_Nuc55_EM,534,602,68.8367,
TB3_Nuc56_EM,394,526,70.8521,
TB3_Nuc57_EM,627,634,2.18084,
TB3_Nuc58_EM,614,634,15.8832,
TB3_Nuc59_EM,480,586,75.9309,
TB3_Nuc60_EM,264,511,131.307,
TB3_Nuc61_EM,353,441,23.427,
TB3_Nuc62_EM,320,402,89.1263,
TB3_Nuc63_EM,282,376,86.7164,
TB3_Nuc64_EM,274,344,76.2833,
TB3_Nuc65_EM,228,286,71.0323,
