Object,Start,End,Volume,
TB1_T2Cell01_atmito02-cristae_RSL,119,131,0.423623,
TB1_T2Cell01_atmito03_RSL,120,134,0.913976,
TB1_T2Cell01_atmito03-cristae_RSL,122,133,0.509756,
TB1_T2Cell01_atmito04_RSL,128,135,0.18624,
TB1_T2Cell01_atmito04-cristae_RSL,129,134,0.0879592,
TB1_T2Cell01_atmito05_RSL,116,134,0.750782,
TB1_T2Cell01_atmito06_RSL,119,134,1.42958,
TB1_T2Cell01_atmito07_RSL,120,129,0.520447,
TB1_T2Cell01_atmito12_RSL,116,120,0.409909,
TB1_T2Cell01_atmito13_RSL,134,157,1.75857,
TB1_T2Cell01_atmito14_RSL,158,166,0.544816,
TB1_T2Cell01_atmito16_RSL,166,174,0.219507,
TB1_T2Cell01_atmito17_RSL,98,126,1.27622,
TB1_T2Cell01_atmito18_RSL,71,104,1.41327,
TB1_T2Cell01_atmito19_RSL,55,85,1.21024,
TB1_T2Cell01_atmito20_RSL,86,99,0.485065,
TB1_T2Cell01_atmito21_LES,161,168,0.332097,
TB1_T2Cell01_atmito23_RSL,167,180,0.784954,
TB1_T2Cell01_atMito25_LES,128,140,0.127243,
TB1_T2Cell01_atMito-hybrid_24_LES,126,140,0.319276,
TB1_T2Cell01_atMito-hybrid_24-cristae_LES,132,140,0.029738,
TB1_T2cell01_CM_RSL,1,204,1640.59,
TB1_T2Cell01_Nmito001_RSL,119,129,1.16678,
TB1_T2Cell01_Nmito002_RSL,116,145,1.22042,
TB1_T2Cell01_Nmito003_RSL,142,148,0.296055,
TB1_T2Cell01_Nmito004_RSL,135,151,0.664215,
TB1_T2Cell01_Nmito005_RSL,142,187,0.855097,
TB1_T2Cell01_Nmito006_RSL,181,192,0.665744,
TB1_T2Cell01_Nmito007_RSL,166,184,0.326887,
TB1_T2Cell01_Nmito008_RSL,178,192,0.38168,
TB1_T2Cell01_Nmito009_RSL,188,195,0.247526,
TB1_T2Cell01_Nmito010_RSL,181,187,0.120109,
TB1_T2Cell01_Nmito011_RSL,197,199,0.0436831,
TB1_T2Cell01_Nmito012_RSL,194,198,0.0998426,
TB1_T2Cell01_Nmito013_RSL,164,190,1.50884,
TB1_T2Cell01_Nmito014_RSL,174,189,0.179902,
TB1_T2Cell01_Nmito015_RSL,176,186,0.372409,
TB1_T2Cell01_Nmito016_RSL,165,179,0.341661,
TB1_T2Cell01_Nmito017_RSL,182,185,0.0613817,
TB1_T2Cell01_Nmito018_RSL,160,180,1.00239,
TB1_T2Cell01_Nmito019_RSL,155,160,0.27709,
TB1_T2Cell01_Nmito020_RSL,154,160,0.307375,
TB1_T2Cell01_Nmito021_RSL,150,162,0.363317,
TB1_T2Cell01_Nmito022_RSL,154,165,0.251616,
TB1_T2Cell01_Nmito023_RSL,153,167,0.443072,
TB1_T2Cell01_Nmito024_RSL,149,159,0.360985,
TB1_T2Cell01_Nmito025_RSL,142,167,0.816957,
TB1_T2Cell01_Nmito026_RSL,129,159,0.4693,
TB1_T2Cell01_Nmito027_RSL,124,132,0.569756,
TB1_T2Cell01_Nmito028_RSL,129,142,0.487286,
TB1_T2Cell01_Nmito029_RSL,134,150,0.859783,
TB1_T2Cell01_Nmito030_RSL,146,167,0.99159,
TB1_T2Cell01_Nmito031,168,178,0.390163,
TB1_T2Cell01_Nmito032_RSL,159,164,0.21505,
TB1_T2Cell01_Nmito033_RSL,138,166,1.81935,
TB1_T2Cell01_Nmito034_RSL,128,147,0.227604,
TB1_T2Cell01_Nmito035_RSL,147,153,0.249397,
TB1_T2Cell01_Nmito036_RSL,152,155,0.18436,
TB1_T2Cell01_Nmito037_RSL,139,155,0.336524,
TB1_T2Cell01_Nmito038_RSL,134,162,1.07819,
TB1_T2Cell01_Nmito039_RSL,129,140,0.356973,
TB1_T2Cell01_Nmito040_RSL,127,142,0.539754,
TB1_T2Cell01_Nmito041_RSL,118,128,0.376198,
TB1_T2Cell01_Nmito042_RSL,96,140,1.60257,
