Object,Type,Volume,SurfaceArea,Range_1,Range_2,Range_3,Health,SAV,PlotSort,Polarity,LysCount,LysTotalVol,LysMedianVol,LysMeanVol,LysStdVol,LysMaxVol,LysMinVol,LysCellRatio
TB2_T3C-08_cw,III,238.998593069991,900.336808867609,18.4042105263158,49.1626666666667,11.12,healthy,3.76712179474606,III,1,81,2.53107153027416,0.0145973901740706,0.0312477966700514,0.0440496627183895,0.237086419417486,0.00115520420961438,0.0105903197912673
TB2_T3C-14_FR,III,663.892732957334,756.98391258748,26.660865497076,63.031298245614,10.24,healthy,1.1402202118036,III,1,85,2.51673074243243,0.0098509442020907,0.0296085969697933,0.0673576899277584,0.460896331268198,0.00102581306704057,0.00379086954487597
TB2_T3C-17_cw,III,811.97280788375,807.533731641184,23.0451461988304,50.9764678362573,13.44,healthy,0.994532974257924,III,1,56,1.14229729130467,0.0121889073998835,0.0203981659161549,0.0261727141584296,0.164163581338532,0.00172860300354523,0.00140681717443451
TB2_t3cell02_CM_RSL,III,524.768983511689,625.290931040769,61.7033,20.5885,16.9274,healthy,1.19155466631507,III,1,57,1.294954220658,0.0097121388175004,0.0227184950992631,0.0398574886808578,0.2585046937725,0.000860854910999977,0.00246766531816024
TB2_T3Cell07_cm_RSL,III,249.266510256131,995.252766784283,51.7297,9.28739999999999,18.8748,healthy,3.9927255601309,III,1,129,3.1902357848095,0.0100332080286665,0.0247305099597636,0.0460601130173236,0.350072332832831,0.000772265562833256,0.0127984933938033
TB2 Nucleus_26_cw_IV-ry,IV,319.725989929132,828.681612858006,18.2329824561404,24.3300116959064,9.84,healthy,2.59184939279314,IV,1,2,0.0919984340380517,0.0459992170190259,0.0459992170190259,0.00377074426124884,0.0486655358562752,0.0433328981817766,0.000287741494078863
TB2_T4C-01_cw,IV,354.799544871641,1192.79848735403,17.0014502923977,26.6701005847953,11.28,healthy,3.3618940739779,IV,1,61,3.14051119571415,0.0199793735754595,0.0514837900936746,0.0902017139292675,0.467090955900733,0.00121020567376855,0.00885150852391967
TB1_AP51_EM,x,504.067002064257,1238.20296288379,19.6184303797468,25.7371139240506,19.36,dying,2.45642535181453,d,1,86,24.3637976582043,0.117078876333921,0.283299972769818,0.40936102398201,2.21556348793676,0.00351153913368579,0.0483344427594539
TB2_TCdying-01_cw,x,114.401435672675,690.637642895335,13.2952514619883,23.7559766081871,14.72,dying,6.03696657156806,d,1,68,2.43681957367076,0.00590923168975064,0.0358355819657465,0.0672383647609981,0.32748027289901,0.000560276586984037,0.0213006030854628
TB2_TCdying-02_cw,x,193.093925362696,739.709797270445,14.9876959064327,16.5040467836257,8.64,dying,3.83082893923783,d,1,49,5.99376481476284,0.0385355841929713,0.122321730913527,0.289327307786555,1.71639383659199,0.0010264478506207,0.031040669992619
TB1_IMMcell08_CM_RKJ,IV,107.59798595003,712.735995544202,40.9431,13.7916,8.6135,healthy,6.62406446785357,IV,1,78,8.65434476085898,0.0310422922045834,0.11095313795973,0.359527241618227,3.08386241657782,0.00213874915216664,0.0804322189160508
TB1_IMMCell09_CM_ry,IV,528.980927406789,457.560020224858,19.3532,16.0296,9.1378,healthy,0.864983965429422,IV,1,35,2.81599385263467,0.0372705806701663,0.0804569672181333,0.0927634455851822,0.401843225815499,0.00245789955016666,0.00532343172832231
